BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
Lunch Counter,DAIRY QUEEN,1641,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5J1J4,74
Lunch Counter,DAIRY QUEEN,2425,TRUSCOTT,DR,,Unit,13A,MISSISSAUGA,ON,L5J2B4,75
Lunch Counter,DAIRY QUEEN / ORANGE JULIUS,100,CITY CENTRE,DR,,Unit,2-102,MISSISSAUGA,ON,L5B 2C9,76
Lunch Counter,DAISY MART 81242,1525,BRISTOL,RD,W,Unit,5&6,MISSISSAUGA,ON,L5M 4Z1,77
Lunch Counter,DANA HOSPITALITY/IMAX CORPORATION,2525,SPEAKMAN,DR,,,,MISSISSAUGA,ON,L5K1B1,78
Lunch Counter,DAVIDS TEA,100,CITY CENTRE,DR,,UNIT,2-907A,MISSISSAUGA,ON,L5B 2G6,79
Lunch Counter,DE CODE ADVENTURES,6620,KITIMAT,RD,,Unit,4,MISSISSAUGA,ON,L5N 2B8,80
Lunch Counter,DESI CORNER,40,DUNDAS,ST,E,UNIT,C1,MISSISSAUGA,ON,L5A 1W2,81
Lunch Counter,DIXIE ESSO SERVICE CENTRE,6070,DIXIE,RD,,UNIT,2,MISSISSAUGA,ON,L5T 1A6,82
Lunch Counter,DRUXYS FAMOUS DELI #74,15,BRONTE COLLEGE,CRT,,Unit,G2,MISSISSAUGA,ON,L5B 0E7,83
Lunch Counter,EASTERN FOODS INTERNATIONAL,3071,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5A2G9,84
Lunch Counter,ERINDALE BASEBALL/SPRINGFIELD SCHOOL PK,3353,THE CREDIT WOODLANDS,,,Unit,5,MISSISSAUGA,ON,L5C2K1,85
Lunch Counter,FRESH MEAT & LAHORI KITCHEN,4025,BRANDON GATE,DR,,UNIT,C,MISSISSAUGA,ON,L4T 3Z9,86
Lunch Counter,FRESHLY SQUEEZED,5100,ERIN MILLS,PKWY,,Unit,F15,MISSISSAUGA,ON,L5M 4Z5,87
Lunch Counter,GATEWAY ON THE GO,1110,SOUTHDOWN,RD,,,,MISSISSAUGA,ON,,88
Lunch Counter,GATEWAY ON THE GO #231,6845,MILLCREEK,DR,,,,MISSISSAUGA,ON,L5N5M4,89
Lunch Counter,GILLS ESSO,5585,WINSTON CHURCHILL,BLVD,,,,MISSISSAUGA,ON,L5M2B2,90
Lunch Counter,GOURMET ON THE GO,316,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1H4,91
Lunch Counter,HASTY MARKET NO.27,3154,HURONTARIO,ST,,Unit,2,MISSISSAUGA,ON,L5B1N9,92
Lunch Counter,HASTY MARKET NO.28,3476,GLEN ERIN,DR,,Unit,1,MISSISSAUGA,ON,L5L 3R4,93
Lunch Counter,ISHTAR FOOD & BAKERY INC,2399,CAWTHRA,RD,,Unit,26,MISSISSAUGA,ON,L5A 2W9,94
Lunch Counter,JOHN PAUL II CULTURAL CENTRE,4300,CAWTHRA,RD,,,,MISSISSAUGA,ON,L4Z 1V8,95
Lunch Counter,JUST CATERING FOOD SERVICES/ ST. MARCELLINUS SS,730,COURTNEYPARK,DR,W,,,MISSISSAUGA,ON,L5W 1L9,96
Lunch Counter,JUST CATERING SERVICES/JOHN CABOT SS,635,WILLOWBANK,TRAIL,,,,MISSISSAUGA,ON,L4W 3L6,97
Lunch Counter,KANSAS CAFE/DIXIE TOYOTA,5500,DIXIE,RD,,Unit,E,MISSISSAUGA,ON,L4W4N3,98
Lunch Counter,KERNELS,100,CITY CENTRE,DR,,Unit,2-102,MISSISSAUGA,ON,L5B 2C9,99
Lunch Counter,KERNELS,1250,SOUTH SERVICE,RD,,Unit,K-03A,MISSISSAUGA,ON,L5E 1V4,100
Lunch Counter,LA NOVITA BAKERY,25,JOHN,ST,,Unit,1,MISSISSAUGA,ON,L5A1Y5,101
Lunch Counter,LA SEM PATISSERIE (2012) LIMITED,1275,EGLINTON,AVE,E,Unit,62A,MISSISSAUGA,ON,L4W2Z2,102
Lunch Counter,LA VILLA FINE FOODS,331,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1H3,103
Lunch Counter,LAMOUREUX BAKERY,2217,BOSTOCK,CRES,,UNIT,5,MISSISSAUGA,ON,L5J 3S8,104
Lunch Counter,LAURA SECORD,100,CITY CENTRE,DR,,Unit,2-102,MISSISSAUGA,ON,L5B 2C9,105
Lunch Counter,LAURA SECORD,2225,ERIN MILLS,PKWY,,Unit,101A,MISSISSAUGA,ON,L5K1T9,106
Lunch Counter,LIFE TIME ATHLETIC,3055,PEPPER MILL,CRT,,,,MISSISSAUGA,ON,L5L 4X5,107
Lunch Counter,LISBOA BAKERY & DELI OF MISSISSAUGA INC,735,TWAIN,AVE,,Unit,19,MISSISSAUGA,ON,,108
Lunch Counter,LONGOS,1125,NORTH SERVICE,RD,,,,MISSISSAUGA,ON,L4Y 1A6,109
Lunch Counter,LONGOS,5636,GLEN ERIN,DR,,Unit,1,MISSISSAUGA,ON,L5M 6B1,110
Lunch Counter,M.M. FOODS,210,ANNAGEM,BLVD,,,,MISSISSAUGA,ON,L5T 2V5,111
Lunch Counter,MANGO MIRCHI,5359,TIMBERLEA,BLVD,,Unit,55,MISSISSAUGA,ON,L4W 4N5,112
Lunch Counter,MAVIS KITCHEN FOOD FAIR,735,TWAIN,AVE,,UNIT,3,MISSISSAUGA,ON,,113
Lunch Counter,MEADOWVALE TOYOTA,2950,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N 8C5,114
Lunch Counter,METRO #46,910,SOUTHDOWN,RD,,,,MISSISSAUGA,ON,L56 2Y4,115
Lunch Counter,METRO #728,6677,MEADOWVALE TOWN CENTRE,CIR,,,,MISSISSAUGA,ON,L5N2R5,116
Lunch Counter,MILAN ICE CREAM & PAAN,3899,TRELAWNY,CIR,,Unit,15,MISSISSAUGA,ON,L5N 3S6,117
Lunch Counter,MISSISSAUGA NORTH BASEBALL ASSOCIATION,2255,MEADOWVALE,BLVD,,,,MISSISSAUGA,ON,,118
Lunch Counter,MISSISSAUGA SOUTHWEST BASEBALL ASSOCIATION INC,3195,THE COLLEGEWAY,,,,,MISSISSAUGA,ON,L5L1L6,119
Lunch Counter,MONTE CARLO BILLIARDS AND SPORTS BAR,1590,DUNDAS,ST,E,Unit,6,MISSISSAUGA,ON,L4X2Z2,120
Lunch Counter,MR. INDIA GROCERS,3950,GRAND PARK,DR,,UNIT,2,MISSISSAUGA,ON,L5B 4M6,121
Lunch Counter,MR. SUB,1250,SOUTH SERVICE,RD,,Unit,68,MISSISSAUGA,ON,L5E 1V4,122
Lunch Counter,MRS. FIELDS COOKIES,100,CITY CENTRE,DR,,Unit,1-816,MISSISSAUGA,ON,L5B 2C9,123
Lunch Counter,MURPHYS ICE CREAM PARLOUR,9A,MAIN,ST,,,,MISSISSAUGA,ON,L5M1X4,124
Lunch Counter,MY DELISH BREAD,1550,SOUTH GATEWAY,RD,,Suite,6A,MISSISSAUGA,ON,,125
Lunch Counter,MYMUNCHBOX PERSONAL CHEF SERVICES INC,4900,TOMKEN,RD,,,,MISSISSAUGA,ON,L4W 1J8,126
Lunch Counter,NANDYS CAFE,6600,TURNER VALLEY,RD,,,,MISSISSAUGA,ON,L5N5Z1,127
Lunch Counter,OLIVIAS DELI & CONVENIENCE,2076,SHEROBEE,RD,,Unit,2,MISSISSAUGA,ON,L5A 4C5,128
Lunch Counter,ON THE GO,4720,TAHOE,BLVD,,,,MISSISSAUGA,ON,L4W 5P2,129
Lunch Counter,ORIENTAL MARKET,113,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5B1H8,130
Lunch Counter,PARAMOUNT BUTCHER SHOP,4646,HERITAGE HILLS,BLVD,,Unit,18&19,MISSISSAUGA,ON,L5R 1N4,131
Lunch Counter,PETRO CANADA,3425,WINSTON CHURCHILL,BLVD,,,,MISSISSAUGA,ON,L5L 3R5,132
Lunch Counter,PETRO CANADA,6536,WINSTON CHURCHILL,BLVD,,,,MISSISSAUGA,ON,L5N3W4,133
Lunch Counter,PETRO CANADA,695,BURNHAMTHORPE,RD,W,,,MISSISSAUGA,ON,L5C 3A6,134
Lunch Counter,PETRO CANADA,995,EGLINTON,AVE,E,,,MISSISSAUGA,ON,L4W4H3,135
Lunch Counter,PIZZERIA DEI SASSI,5200,DIXIE,RD,,Unit,6,MISSISSAUGA,ON,L4M 1E4,136
Lunch Counter,PLANET ORGANIC MARKET,170,LAKESHORE,RD,E,Unit,101,MISSISSAUGA,ON,,137
Lunch Counter,PLAZA PREMIUM INT DEP L3 RM FG3051,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,138
Lunch Counter,PLAZA PREMIUM LOUNG TRM 3 DD L2/RMG219,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,139
Lunch Counter,PLAZA PREMIUM LOUNGE US DEP/L2 RFD2048,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,140
