COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
70,Meadowvale NHD,46W,1-46,Neuchatel Pl,Low Density II,R3-8,,2.33,5.757555,92,,,0,0,,,Detached,PCC,,2,46,0,20,8,,43
72,Meadowvale NHD,46W,1-36,Pierpont Pl,Low Density II,R3-8,,1.83,4.522028,72,,,0,0,,,Detached,PCC,12,2,36,0,20,8,,44
88,Malton NHD,48E,7030,Netherbrae Rd,Medium Density,RM4,Woodbine Square,1.08,2.668738,58,6816,73366.813350,0,0,6816,73366.813350,Townhouse,PCC,4,2,46,0,43,17,0.631111,45
89,Malton NHD,48E,7033,Netherbrae Rd,Medium Density,RM4,,1.12,2.76758,108,7112,76552.930840,0,0,7112,76552.930840,Townhouse,PCC,4,2,48,0,43,17,0.635000,46
90,Malton NHD,48E,3860,Morning Star Dr,Medium Density,RM4,,1.23,3.039396,52,5449,58652.547820,0,0,5449,58652.547820,Townhouse,PCC,4,2,41,0,33,13,0.443008,47
91,Malton NHD,48E,7450,Darcel Ave,Medium Density,RM4,,0.83,2.050975,32,8290,89232.817300,0,0,8290,89232.817300,Townhouse,PCC,3,2,27,0,33,13,0.998795,48
92,Malton NHD,48E,7406,Darcel Ave,Medium Density,RM4,,0.91,2.248659,59,4552,48997.320190,0,0,4552,48997.320190,Townhouse,PCC,5,2,39,0,43,17,0.500220,49
93,Malton NHD,48E,4020/7707,Brandon Gate Dr/Darcel Ave,Medium Density,RM4,,1.06,2.619317,82,4936,53130.661780,0,0,4936,53130.661780,Townhouse,PCC,5,3,36,0,34,14,0.465660,50
95,Malton NHD,48E,3525,Brandon Gate Dr,Medium Density,RM4,,2.74,6.770687,228,12077,129995.746000,0,0,12077,129995.746000,Townhouse,PCC,11,3,101,0,37,15,0.440766,51
96,Malton NHD,48E,7475,Goreway Dr,Medium Density,RM4,,1.92,4.744423,66,9165.500000,98656.620860,0,0,9165.500000,98656.620860,Townhouse,PCC,8,2,77,0,40,16,0.477370,52
97,Malton NHD,48W,3430,Brandon Gate Dr,Medium Density,RM4,,0.96,2.372212,72,5065,54519.206230,0,0,5065,54519.206230,Townhouse,PCC,5,2,32,0,33,13,0.527604,53
98,Malton NHD,48W,7560,Goreway Dr,Medium Density,RM4,Goreway Mews,0.86,2.125106,84,4296,46241.759120,0,0,4296,46241.759120,Townhouse,PCC,4,3,37,0,43,17,0.499535,54
99,Malton NHD,48W,7500,Goreway Dr,Medium Density,RM4,,2.26,5.584582,122,11270,121309.270300,0,0,11270,121309.270300,Townhouse,PCC,11,3,97,0,43,17,0.498673,55
100,Malton NHD,48W,7440,Goreway Dr,Medium Density,RM4,,0.92,2.27337,41,4066,43766.059730,0,0,4066,43766.059730,Townhouse,PCC,5,2,39,0,42,17,0.441957,56
101,Malton CN,48W,3435/7255,Jolliffe Ave/Dooley Dr,Medium Density,RM4,,1.9,4.695002,162,12135,130620.052800,0,0,12135,130620.052800,Townhouse,PCC,9,3,75,0,39,16,0.638684,57
103,Malton NHD,48E,3600,Morning Star Dr,Medium Density,RM4,,0.89,2.199238,118,3855,41494.874630,0,0,3855,41494.874630,Townhouse,PCC,4,2,32,0,36,15,0.433146,58
105,East Credit NHD,45E,6050,Bidwell Tr,Medium Density,RM4,,1.93,4.769134,148,,,0,0,,,Townhouse,PCC,11,2,74,0,38,16,,59
106,Malton NHD,48E,7555,Goreway Dr,Medium Density,RM9,Elder Garden Apartments,4.27,10.5514,340,21096,227075.454000,0,0,21096,227075.454000,Townhouse,RNTL,4,3,272,0,64,26,0.494052,60
166,East Credit NHD,37W,906-972,Cardington St,Low Density II,RM5,Victory Estates,1,2.471054,80,5625,60546.996060,0,0,5625,60546.996060,Townhouse,Freehold,6,2,45,0,45,18,0.562500,61
171,East Credit NHD,38E,5237-5270/5230-5255/911-1069,Cinnamon Rd/Akicante St/Blizzard Rd,Medium Density,RM5,Credit Woods,3,7.413161,262,18300,196979.560500,0,0,18300,196979.560500,Townhouse,Freehold,18,2,122,0,41,16,0.610000,62
173,Applewood NHD,20,30503040,Constitution Blvd,Medium Density,RM9,San Tropez Building No. 1,1.76,4.349055,195,24867,267666.160200,0,0,24867,267666.160200,Townhouse,PCC,,4,155,0,88,36,1.412898,63
175,Applewood NHD,20,1055,Dundas St E,Medium Density,RM9,San Tropez Building No. 3,0.88,2.174527,89,4366.700000,47002.767590,0,0,4366.700000,47002.767590,Townhouse,PCC,,4,64,0,73,29,0.496216,64
176,Applewood NHD,20,3060/3055,Constitution Blvd/Tomken Rd,Medium Density,RM9,San Tropez Building No. 4,1.76,4.349055,169,20871,224653.574200,0,0,20871,224653.574200,Townhouse,PCC,2,4,131,0,74,30,1.185852,65
181,East Credit NHD,38E,5156-5190,Dartmoore Crt,Medium Density,RM5,,0.57,1.408501,36,,,0,0,,,Townhouse,Freehold,3,2,18,0,32,13,,66
182,Applewood NHD,20,1370,Silver Spear Rd,Medium Density,RM4,Forest Manor,1.62,4.003107,82,7965,85734.546420,0,0,7965,85734.546420,Townhouse,RNTL,8,2,64,0,40,16,0.491667,67
183,Applewood NHD,20,1350,Winding Tr,Medium Density,RM4,,2.44,6.029371,124,11441,123149.899000,0,0,11441,123149.899000,Townhouse,RNTL,4,2,99,0,41,16,0.468893,68
184,Applewood NHD,20,3070,Queen Frederica Dr,Medium Density,RM4,,1.56,3.854844,53,,,0,0,,,Townhouse,RNTL-PNP,8,2,63,0,40,16,,69
185,East Credit NHD,38E,5016-5050,East Mill Rd,Medium Density,RM5,East Mill Townhouses,0.39,0.963711,32,2461,26489.983520,0,0,2461,26489.983520,Townhouse,Freehold,3,2,16,0,41,17,0.631026,70
186,Applewood NHD,20,3150,Queen Frederica Dr,Medium Density,RM4,Quetico Court,0.44,1.087264,20,,,0,0,,,Townhouse,PCC,2,2,16,0,36,15,,71
187,Applewood NHD,19,1400,Winding Tr,Medium Density,RM4,,1.24,3.064107,65,,,0,0,,,Townhouse,RNTL,2,2,50,0,40,16,,72
188,Applewood NHD,19,1310,Gulleden Dr,Medium Density,RM4,,0.55,1.35908,35,,,0,0,,,Townhouse,PCC,1,2,23,0,42,17,,73
189,Applewood NHD,19,3516,Havenwood Dr,Medium Density,RM4,,0.55,1.35908,30,,,0,0,,,Townhouse,RNTL,1,2,24,0,44,18,,74
190,Applewood NHD,19,35153455,Havenwood Dr,Medium Density,RM4,,2.09,5.164502,98,,,0,0,,,Townhouse,RNTL,1,2,89,0,43,17,,75
192,Applewood NHD,19,1539-1647,Williamsport Dr,Medium Density,RM4,Williamsport Townhouses,1,2.471054,24,,,0,0,,,Townhouse,RNTL,4,2,48,0,48,19,,76
193,Applewood NHD,19,3468-3532,Fieldgate Dr,Medium Density,RM4,Fieldgate Townhouses,0.8,1.976843,59,,,0,0,,,Townhouse,RNTL,3,2,31,0,39,16,,77
194,Applewood NHD,19,1560,Bloor St,Medium Density,RM4,1560 Bloor Street Townhouses,3.34,8.25332,178,15053,162029.143400,0,0,15053,162029.143400,Townhouse,RNTL,8,2,141,0,42,17,0.450689,78
195,Applewood NHD,19,1856-1914,Kirkwall Cres,Medium Density,RM4,Kirkwall Townhouses,0.84,2.075685,38,,,0,0,,,Townhouse,PCC,3,2,30,0,36,14,,79
196,Applewood NHD,19,3255-3297,Fieldgate Dr,Medium Density,RM4,Fieldgate Townhouses,0.63,1.556764,40,,,0,0,,,Townhouse,PCC,2,2,20,0,32,13,,80
197,Applewood NHD,20,3665,Flamewood Dr,Medium Density,RM4,Applewood Hamlet,1.94,4.793844,87,,,0,0,,,Townhouse,PCC,3,2,67,0,35,14,,81
198,Rathwood-Applewood CN,19,1415/1485,Gulleden Dr,Medium Density,RM4,,3.03,7.487293,259,11950,128628.729400,0,0,11950,128628.729400,Townhouse,PCC,11,3,115,0,38,15,0.394389,82
200,Applewood NHD,20,1221,Dundix Rd,Medium Density,RM4,,5.73,14.159138,399,16818,181027.445300,0,0,16818,181027.445300,Townhouse,PCC,14,3,177,0,31,13,0.293508,83
201,Applewood NHD,20,750,Burnhamthorpe Rd E,Medium Density,RM4,,1.23,3.039396,86,4923,52990.730950,0,0,4923,52990.730950,Townhouse,PCC,6,2,38,0,31,13,0.400244,84
202,Applewood NHD,20,2982-3020,Rymal Rd,Medium Density,RM5,Rymal Road Townhouses,0.4,0.988422,36,,,0,0,,,Townhouse,Freehold,3,2,18,0,45,18,,85
205,Applewood NHD,20,3055-3083/847-879,Haines Rd/Riley Crt,Medium Density,RM5,,0.75,1.85329,,,,0,0,,,Townhouse,Freehold,4,2,30,0,40,16,,86
207,East Credit NHD,30,1111-1151,Eglinton Ave W,Medium Density,RM5,Roseborough Townhouses,0.71,1.754448,42,2900,31215.340190,0,0,2900,31215.340190,Townhouse,Freehold,3,2,21,0,30,12,0.408451,87
208,Applewood NHD,20,118012001230,Gripsholm Rd,Medium Density,RM4,Gripsholm Townhouses,1.598,3.948744,96,5567,59922.689250,0,0,5567,59922.689250,Townhouse,PCC,3,2,57,0,36,14,0.348373,88
210,East Credit NHD,37W,5201-5299,Fairford Cres,Medium Density,RM5,,1.5112,3.734257,130,9180.920000,98822.600360,0,0,9180.920000,98822.600360,Townhouse,Freehold,10,2,63,0,42,17,0.607525,89
211,Applewood NHD,19,332033403360,Ponytrail Dr,Medium Density,RM4,Russet Homes Co-op,2.4,5.930529,80,,,0,0,,,Townhouse,COOP-FED,3,2,78,0,32,13,,90
212,East Credit NHD,38E,5040,Fallingbrook Dr,Medium Density,RM4,,0.85,2.100396,86,,,0,0,,,Townhouse,RNTL-PRIVNP,6,3,43,0,51,20,,91
213,Streetsville NHD,45W,59,Kenninghall Blvd,Low Density II,R3-46,,1.91,4.719713,90,,,0,0,,,Detached,PCC,,2,35,0,18,7,,92
224,Rathwood NHD,28,640,Rathburn Rd E,Medium Density,RM4,,0.84,2.075685,77,4059,43690.712350,0,0,4059,43690.712350,Townhouse,PCC,5,2,34,0,40,16,0.483214,93
225,Rathwood NHD,28,485,Meadows Blvd,Medium Density,RM4,Forestview Village,2.74,6.770687,198,10191,109695.011000,0,0,10191,109695.011000,Townhouse,PCC,9,2,84,0,31,12,0.371934,94
226,East Credit NHD,30,835-859,Millworks Cres,Medium Density,RM5,Bradwick Development,0.35,0.864869,,,,0,0,,,Townhouse,Freehold,,2,13,0,37,15,,95
227,Rathwood NHD,28,345,Meadows Blvd,Medium Density,RM4,,1.33,3.286502,99,5388,57995.949290,0,0,5388,57995.949290,Townhouse,PCC,3,2,44,0,33,13,0.405113,96
228,Rathwood NHD,28,333,Meadows Blvd,Medium Density,RM4,Williamsburg Townhouses,3.44,8.500425,287,51816,557742.781800,0,0,51816,557742.781800,Townhouse,PCC-RNTL,13,2,127,0,37,15,1.506279,97
229,Rathwood NHD,28,370,Rathburn Rd E,Medium Density,RM4,,2.24,5.535161,156,9271,99792.213410,0,0,9271,99792.213410,Townhouse,COOP-FED,13,2,82,0,37,15,0.413884,98
231,East Credit NHD,38E,5026-5066/5036-5071/1065-1097,Moulin Rouge Cres/Warwickshire Way/Wilmington Dr,Medium Density,RM5-3,Manors of Sherwood,1.9,4.695002,130,,,0,0,,,Townhouse,Freehold,11,2,69,0,36,15,,99
232,Rathwood NHD,28,4122-4144,Clevedon Dr,Low Density II,RM5-3,,0.24,0.593053,16,1216,13088.915060,0,0,1216,13088.915060,Townhouse,Freehold,2,2,8,0,33,13,0.506667,100
233,Rathwood NHD,28,4137-4145,Dursley Cres,Low Density II,RM5-3,,0.15,0.370658,10,700,7534.737287,0,0,700,7534.737287,Townhouse,Freehold,1,2,5,0,33,13,0.466667,101
234,Rathwood NHD,28,4079-4099,Dursley Cres,Low Density II,RM5-3,,0.22,0.543632,14,975,10494.812650,0,0,975,10494.812650,Townhouse,Freehold,2,2,7,0,32,13,0.443182,102
235,Rathwood NHD,28,3976-4156,Bishopstoke Lane,Low Density II,RM5-3,,1.27,3.138238,96,,,0,0,,,Townhouse,Freehold,7,2,48,0,38,15,,103
240,Rathwood NHD,28,4267-4271,Ryeford Crt,Low Density II,RM5-3,,0.15,0.370658,6,409,4402.439358,0,0,409,4402.439358,Townhouse,Freehold,1,2,3,0,20,8,0.272667,104
241,Rathwood NHD,28,425,Meadows Blvd,Medium Density,RM4,,2.24,5.535161,190,8847,95228.315400,0,0,8847,95228.315400,Townhouse,COOP-FED,10,2,81,0,36,15,0.394955,105
256,East Credit NHD,37W,833,Scollard Crt,Medium Density,RM4,The Village of Lindenview,3.39,8.376872,,,,0,0,,,Townhouse,PCC,19,2,127,0,37,15,,106
266,Mississauga Valleys NHD,21,1250,Mississauga Valley Blvd,Medium Density,RM9,,3.88,9.587689,233,25055,269689.775300,0,0,25055,269689.775300,Townhouse,PCC,17,3,186,0,48,19,0.645747,107
267,East Credit NHD,38E,1485/1484,Torrington Dr,Medium Density,RM4,,2.71,6.696556,187,8787,94582.480770,0,0,8787,94582.480770,Townhouse,PCC,12,2,80,0,30,12,0.324244,108
268,Mississauga Valleys NHD,21,600,Silver Creek Blvd,Medium Density,RM4,,2.25,5.559871,110,9327,100394.992400,0,0,9327,100394.992400,Townhouse,PCC,10,2,80,0,36,14,0.414533,109
269,Mississauga Valleys NHD,21,3225,Cliff Rd N,Medium Density,RM4,,1.72,4.250213,102,6204,66779.300180,0,0,6204,66779.300180,Townhouse,RNTL-PNP,9,2,69,0,40,16,0.360698,110
270,Mississauga Valleys NHD,21,400,Mississauga Valley Blvd,Medium Density,RM4,,3.89,9.612399,240,17741,190962.534600,0,0,17741,190962.534600,Townhouse,PCC,16,3,160,0,41,17,0.456067,111
271,DT Fairview,21,215,Mississauga Valley Blvd,Medium Density,RM4,,4.19,10.353715,209,17829,191909.758700,0,0,17829,191909.758700,Townhouse,PCC,10,2,161,0,38,16,0.425513,112
272,DT Fairview,21,180,Mississauga Valley Blvd,Medium Density,RM4,The Colony,5.75,14.208559,293,28657,308461.380600,0,0,28657,308461.380600,Townhouse,PCC,26,3,216,0,38,15,0.498383,113
273,DT Fairview,21,41,Mississauga Valley Blvd,Medium Density,RM4,,3.26,8.055635,138,13922,149855.160700,0,0,13922,149855.160700,Townhouse,PCC,10,2,110,0,34,14,0.427055,114
274,Mississauga Valleys NHD,21,3400,Rhonda Valley,Medium Density,RM4,,1.65,4.077239,87,7674,82602.248490,0,0,7674,82602.248490,Townhouse,PCC,6,2,68,0,41,17,0.465091,115
275,Mississauga Valleys NHD,21,3395,Cliff Rd N,Medium Density,RM4,Parklane Circle,3.21,7.932083,302,1601,17233.020570,0,0,1601,17233.020570,Townhouse,PCC,13,3,134,0,42,17,0.049875,116
276,Mississauga Valleys NHD,21,400,Bloor St,Medium Density,RM4,,1.24,3.064107,386,12303,132428.389800,0,0,12303,132428.389800,Townhouse,PCC,11,3,104,0,84,34,0.992177,117
278,Mississauga Valleys NHD,21,405,Hyacinthe Blvd,Medium Density,RM4,Westwind Gardens,2.71,6.696556,136,13296,143116.952800,0,0,13296,143116.952800,Townhouse,PCC,12,3,112,0,41,17,0.490627,118
279,Mississauga Valleys NHD,21,1180,Mississauga Valley Blvd,Medium Density,RM4,,3.45,8.525136,224,17257,185752.801900,0,0,17257,185752.801900,Townhouse,PCC,12,2,118,0,34,14,0.500203,119
281,Mississauga Valleys NHD,21,3640-3658,Cawthra Rd,Medium Density,RM4,Cawthra Townhouses,0.28,0.691895,13,1072,11538.911960,0,0,1072,11538.911960,Townhouse,RNTL,1,2,10,0,36,14,0.382857,120
282,Mississauga Valleys NHD,21,3375-3403,Silverado Dr,Medium Density,RM5-1,Silverado Townhouses,0.44,1.087264,34,1935,20828.166640,0,0,1935,20828.166640,Townhouse,Freehold,1,3,15,0,34,14,0.439773,121
283,Mississauga Valleys NHD,21,3345,Silverado Dr,Medium Density,RM4,,2.12,5.238634,178,9321,100330.408900,0,0,9321,100330.408900,Townhouse,PCC,8,2,73,0,34,14,0.439670,122
285,East Credit NHD,30,1228-1276,Vanrose St,Medium Density,RM5,,0.45,1.111974,34,3200,34444.513310,0,0,3200,34444.513310,Townhouse,Freehold,3,2,17,0,38,15,0.711111,123
296,East Credit NHD,30,4612-4664/4678-4688,Wayside Crt/Penhallow Rd,Medium Density,RM5,Bradwick Development,0.64,1.581474,62,3675,39557.370760,0,0,3675,39557.370760,Townhouse,Freehold,5,2,21,0,33,13,0.574219,124
298,Rathwood NHD,26,4156,Fieldgate Dr,Medium Density,RM4,Rockwood Village Block D,1.15,2.841712,90,5756,61957.068320,0,0,5756,61957.068320,Townhouse,PCC,5,3,40,0,35,14,0.500522,125
299,Rathwood NHD,26,4230,Fieldgate Dr,Medium Density,RM4,,1.24,3.064107,98,6169,66402.563320,0,0,6169,66402.563320,Townhouse,PCC,5,3,43,0,35,14,0.497500,126
300,Rathwood NHD,26,4165,Fieldgate Dr,Medium Density,RM4,Rockwood Village Block C,3.27,8.080346,258,16383,176345.144200,0,0,16383,176345.144200,Townhouse,PCC,11,3,113,0,35,14,0.501009,127
301,Rathwood NHD,26,1755,Rathburn Rd E,Medium Density,RM4,,3.73,9.217031,286,18367,197700.742500,0,0,18367,197700.742500,Townhouse,PCC,17,3,127,0,34,14,0.492413,128
302,Rathwood NHD,26,1764,Rathburn Rd E,Medium Density,RM4,Rockwood Village Block B,1.34,3.311212,104,6489,69847.014650,0,0,6489,69847.014650,Townhouse,PCC,4,3,46,0,34,14,0.484254,129
303,Rathwood NHD,26,1855,Maple Ridge Dr,Medium Density,RM4,,1.63,4.027818,97,,,0,0,,,Townhouse,PCC,3,3,43,0,26,11,,130
304,Rathwood NHD,26,1951,Rathburn Rd E,Medium Density,RM4,Rathburn Place,6.63,16.383087,516,33351,358987.176100,0,0,33351,358987.176100,Townhouse,PCC,21,3,228,0,34,14,0.503032,131
305,Rathwood NHD,26,2120,Rathburn Rd E,Medium Density,RM4,Rathburn Ridge,4.84,11.9599,376,29632,318956.193300,0,0,29632,318956.193300,Townhouse,PCC,14,2,167,0,35,14,0.612231,132
306,DT Cooksville,21,3175,Kirwin Ave,Medium Density,RM4,,4,9.884215,255,20013,215418.139000,0,0,20013,215418.139000,Townhouse,PCC,10,3,169,0,42,17,0.500325,133
307,DT Hospital,14,2145,Sherobee Rd,Medium Density,RM4,,2.64,6.523582,136,13137,141405.491100,0,0,13137,141405.491100,Townhouse,PCC,10,3,108,0,41,17,0.497614,134
308,Cooksville NHD (East),14,2075,Asta Dr,Medium Density,RM4,Astra Park,1.15,2.841712,102,4966,53453.579100,0,0,4966,53453.579100,Townhouse,PCC,4,3,45,0,39,16,0.431826,135
319,Hurontario NHD,37W,540-599,Ashprior Ave,Medium Density,RM5,,1.55,3.830133,94,,,0,0,,,Townhouse,Freehold,6,2,47,0,30,12,,136
324,Hurontario NHD,37W,705-818,Ashprior Ave,Medium Density,RM5,,2.25,5.559871,172,12040,129597.481300,0,0,12040,129597.481300,Townhouse,Freehold,10,2,86,0,38,15,0.535111,137
332,Hurontario NHD,36W,441-489/460-484,Barondale Dr/Dalmuir Mews,Low Density II,RM5,,0.85,2.100396,72,,,0,0,,,Townhouse,Freehold,4,2,36,0,42,17,,138
354,Hurontario NHD,36W,45-85/60,Bristol Rd E/Barondale Dr,Medium Density,RA1-16,Lakeview,5.44,13.442533,666,29343,315845.423200,0,0,29343,315845.423200,Townhouse,PCC,20,3,310,0,57,23,0.539393,139
361,East Credit NHD,38E,1455,Bristol Rd W,Medium Density,RM4,Labourers Local 183 Non Profit,2,4.942108,80,8400,90416.847440,0,0,8400,90416.847440,Townhouse,RNTL-PRIVNP,13,2,69,0,34,14,0.420000,140
371,Erin Mills NHD,25,3058,Fifth Line West,Medium Density,RM4,Gran Columbia,1.761,4.351526,154,7978,85874.477250,0,0,7978,85874.477250,Townhouse,RNTL-PNP,13,2,77,0,44,18,0.453038,141
373,Erin Mills NHD,25,3100,Fifth Line West,Medium Density,RM4,,1.712,4.230444,146,8534,91859.211440,0,0,8534,91859.211440,Townhouse,PCC,11,3,73,0,43,17,0.498481,142
374,Erin Mills NHD,25,3500,Glen Erin Dr,Medium Density,RM4,,1.63,4.027818,124,7128,76725.153400,0,0,7128,76725.153400,Townhouse,PCC,8,2,55,0,34,14,0.437301,143
375,Erin Mills NHD,25,3339,Council Ring Rd,Medium Density,RM4,The Pines,2.43,6.004661,187,13000,139930.835300,0,0,13000,139930.835300,Townhouse,PCC,11,2,83,0,34,14,0.534979,144
376,Erin Mills NHD,25,3360,Council Ring Rd,Medium Density,RM4,The Barrington,1.88,4.645581,144,8196,88221.009720,0,0,8196,88221.009720,Townhouse,PCC,8,2,64,0,34,14,0.435957,145
378,Erin Mills NHD,25,33503351,Hornbeam Cres,Medium Density,RM4,Hornbeam Townhouses,1.74,4.299634,172,,,0,0,,,Townhouse,PCC,11,2,87,0,50,20,,146
380,South Common CN,25,2300,South Millway,Medium Density,RM4,Midwich Co-op,2.84,7.017793,356,17279,185989.608000,0,0,17279,185989.608000,Townhouse,COOP-FED,15,3,162,0,57,23,0.608415,147
381,Erin Mills NHD,25,2288,The Collegeway,Medium Density,RM4,Brookmede Square,2.24,5.535161,186,9813,105626.252900,0,0,9813,105626.252900,Townhouse,PCC,9,2,83,0,37,15,0.438080,148
383,Erin Mills NHD,25,2024-2166,Millway Gate,Medium Density,RM5-40,Millway Gate,2.66,6.573003,38,,,0,0,,,Townhouse,Freehold,4,2,19,0,7,3,,149
384,Erin Mills NHD,25,2020,South Millway,Medium Density,RM4,,2.33,5.757555,167,9254,99609.226930,0,0,9254,99609.226930,Townhouse,PCC,8,2,74,0,32,13,0.397167,150
385,Erin Mills NHD,24,3330,South Millway,Medium Density,RM4,Peel Non-Profit Springmill Terrace,2.19,5.411608,173,,,0,0,,,Townhouse,RNTL-PNP,11,2,75,0,34,14,,151
386,Erin Mills NHD,24,3280,South Millway,Medium Density,RM4,Peel Non-Profit Springmill Terrace,1.64,4.052528,129,5723,61601.859280,0,0,5723,61601.859280,Townhouse,RNTL-PNP,8,2,56,0,34,14,0.348963,152
387,Erin Mills NHD,24,3265,South Millway,Medium Density,RM4,Millway Village,3.52,8.698109,330,12892,138768.333000,0,0,12892,138768.333000,Townhouse,PCC,17,2,85,0,24,10,0.366250,153
388,Erin Mills NHD,24,3061,Sir Johns Homestead,Medium Density,RM4,,1.74,4.299634,61,,,0,0,,,Townhouse,RNTL,8,2,61,0,35,14,,154
389,Erin Mills NHD,32,2736,Folkway Dr,Medium Density,RM4,Terra Cotta,2.34,5.782266,180,8494,91428.655020,0,0,8494,91428.655020,Townhouse,COOP-FED,7,2,80,0,34,14,0.362991,155
390,Erin Mills NHD,32,41712676,"Glen Erin Dr, Folkway Dr",Medium Density,RM4,Village Hill Homes,2.8,6.918951,221,,,0,0,,,Townhouse,PCC,12,2,97,0,35,14,,156
391,Erin Mills NHD,25,3140,Fifth Line West,Medium Density,RM4,Fifth Line Townhouses,0.8246,2.037631,70,5351,57597.684600,0,0,5351,57597.684600,Townhouse,PCC,5,3,35,0,42,17,0.648921,157
392,South Common CN,25,2333,South Millway,Medium Density,RM4,Ahneen Co-operative Homes Inc,2.146,5.302881,134,6177,66488.674600,0,0,6177,66488.674600,Townhouse,COOP-ROP,12,2,60,0,28,11,0.287838,158
393,Erin Mills NHD,24,1735,The Collegeway,Medium Density,RM4,Townmanors of Sawmill Valley,1.23,3.039396,48,,,0,0,,,Townhouse,PCC,3,2,24,0,20,8,,159
397,Erin Mills NHD,32,2685-2724,Jerring Mews,Low Density II,RM5,Jerring Mews Townhouses,1.09,2.693449,91,5066,54529.970140,0,0,5066,54529.970140,Townhouse,Freehold,4,2,35,0,32,13,0.464771,160
398,Erin Mills NHD,32,4111,Arbour Green Dr,Medium Density,RM4,Arbour Green Village,1.53,3.780712,118,6567,70686.599660,0,0,6567,70686.599660,Townhouse,PCC,6,2,51,0,33,13,0.429216,161
399,Erin Mills NHD,31,2066-2108,Farrier Mews,Low Density II,RM5,Townwood Homes,0.64,1.581474,58,3475,37404.588670,0,0,3475,37404.588670,Townhouse,Freehold,2,2,16,0,25,10,0.542969,162
400,South Common CN,25,"2433, 2401/3477",The Collegeway/Glen Erin Dr,Medium Density,RM4,Glenway Court,2.86,7.067214,214,,,0,0,,,Townhouse,RNTL-PNP,10,3,110,0,38,16,,163
401,South Common CN,25,2301,Burnhamthorpe Rd W,Medium Density,RM4,Forster Terrace,2.33,5.757555,136,8806,94786.995070,0,0,8806,94786.995070,Townhouse,RNTL-PNP,5,2,79,0,34,14,0.377940,164
402,South Common CN,25,2251,Burnhamthorpe Rd W,Medium Density,RM4,Forster Terrace,2.14,5.288055,87,,,0,0,,,Townhouse,RNTL-PNP,8,2,73,0,34,14,,165
411,Hurontario NHD,36W,99-119,Bristol Rd E,Medium Density,RA1-16,Lakeview,4.05,10.007768,675,20289,218388.978300,0,0,20289,218388.978300,Townhouse,PCC,,3,230,0,57,23,0.500963,166
412,Streetsville NHD,39E,336,Queen St S,Low Density II,R3-47,Princess Mews,1.74,4.299634,72,,,0,0,,,Detached,PCC,,2,36,0,21,8,,167
414,Streetsville NHD,45W,55,Falconer Dr,Low Density II,R3-50,,2.83,6.993082,112,,,0,0,,,Detached,PCC,,2,48,0,17,7,,168
415,Streetsville NHD,45W,98,Falconer Dr,Medium Density,RM4,,2.22,5.485739,96,8445,90901.223410,0,0,8445,90901.223410,Townhouse,PCC,10,2,77,0,35,14,0.380405,169
416,Streetsville NHD,45W,120,Falconer Dr,Medium Density,RM4,,1.4,3.459475,112,,,0,0,,,Townhouse,PCC,8,2,48,0,34,14,,170
417,Streetsville NHD,45W,6540,Falconer Dr,Medium Density,RM4,Victoria Wood,4.43,10.946768,214,15226,163891.299900,0,0,15226,163891.299900,Townhouse,PCC,20,2,142,0,32,13,0.343702,171
418,Streetsville NHD,45W,6650,Falconer Dr,Medium Density,RM4,,3.73,9.217031,180,,,0,0,,,Townhouse,PCC,23,2,119,0,32,13,,172
419,Streetsville NHD,45W,6699,Falconer Dr,Medium Density,RM4,,1.94,4.793844,132,9114,98102.279480,0,0,9114,98102.279480,Townhouse,PCC,8,2,86,0,44,18,0.469794,173
420,Streetsville NHD,45W,6730/6433,Falconer Dr/Charing Dr,Medium Density,RM4,,2.66,6.573003,128,6788,73065.423860,0,0,6788,73065.423860,Townhouse,PCC,16,2,85,0,32,13,0.255188,174
422,Streetsville NHD,45W,121,Falconer Dr,Medium Density,RM4,,0.83,2.050975,62,3666,39460.495560,0,0,3666,39460.495560,Townhouse,PCC,4,2,27,0,33,13,0.441687,175
423,Streetsville NHD,38W,24,Reid Dr,Medium Density,RM4,The Terrace,0.55,1.35908,53,2530,27232.693340,0,0,2530,27232.693340,Townhouse,PCC,2,4,23,0,42,17,0.460000,176
424,Streetsville NHD,45W,6555,Falconer Dr,Medium Density,RM4,Tecumseh Co-operative,2.99,7.388451,180,11543,124247.817900,0,0,11543,124247.817900,Townhouse,COOP-FED,17,3,113,0,38,15,0.386054,177
442,Sheridan NHD,18,2445,Homelands Dr,Medium Density,RM4,,1.25,3.088817,75,6800,73194.590790,0,0,6800,73194.590790,Townhouse,PCC,7,3,60,0,48,19,0.544000,178
443,Sheridan NHD,18,2605,Woodchester Dr,Medium Density,RM4,Woodchester Mews,1.75,4.324344,184,9379,100954.715700,0,0,9379,100954.715700,Townhouse,PCC,8,2,92,0,53,21,0.535943,179
