COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
936,Hurontario NHD,37E,307-391,Assiniboine Tr,Medium Density,RM5,,2.1,5.189213,154,,,0,0,,,Townhouse,Freehold,8,2,77,0,37,15,,281
940,Uptown MN,37E,4997-5133,Salishan Cir,Medium Density,RM5,,0.886,2.189354,66,4900.500000,52748.542960,0,0,4900.500000,52748.542960,Townhouse,Freehold,4,2,33,0,37,15,0.553104,282
943,Rathwood NHD,27,4101,Westminster Pl,Medium Density,RM4,Westminister Mews,1.34,3.311212,139,8985,96713.735030,0,0,8985,96713.735030,Townhouse,PCC,8,3,59,0,44,18,0.670522,283
949,Hurontario NHD,37W,510-560/5012-5036/5009-5041,Galaxy Crt/Mariner Crt/Northern Lights Cir,Medium Density,RM5,,2.74,6.770687,198,,,0,0,,,Townhouse,Freehold,11,2,99,0,36,15,,284
953,Hurontario NHD,37W,640-834,Constellation Dr,Medium Density,RM5,,2.03,5.016239,146,,,0,0,,,Townhouse,Freehold,13,2,73,0,36,15,,285
956,Hurontario NHD,29,650-673,Dinsmore Crt,Medium Density,RM5,,0.88,2.174527,44,4400,47361.205800,0,0,4400,47361.205800,Townhouse,Freehold,2,2,22,0,25,10,0.500000,286
957,Meadowvale NHD,56,6859,Edenwood Dr,Medium Density,RM4,Aquitaine Townhouses,0.85,2.100396,60,3778,40666.053530,0,0,3778,40666.053530,Townhouse,PCC,3,3,26,0,31,12,0.444471,287
961,Hurontario NHD,37E,35,Ceremonial Dr,Medium Density,RM4,Sandlewood,1.8,4.447897,145,7595,81751.899560,0,0,7595,81751.899560,Townhouse,PCC,10,2,63,0,35,14,0.421944,288
962,Erin Mills NHD,59,3313-3518,Fenwick Cres,Medium Density,RM5,,3.44,8.500425,242,18150,195364.973900,0,0,18150,195364.973900,Townhouse,Freehold,16,2,121,0,35,14,0.527616,289
975,Hurontario NHD,37E,382-424,Wendron Cres,Medium Density,RM5,,1.02,2.520475,66,,,0,0,,,Townhouse,Freehold,4,2,33,0,32,13,,290
976,Hurontario NHD,37W,718-750,Whitfield Terr,Medium Density,RM5,,0.58,1.433211,46,,,0,0,,,Townhouse,Freehold,3,2,23,0,40,16,,291
977,Hurontario NHD,37E,5002-5065,Willowood Dr,Medium Density,RM5,,0.96,2.372212,90,3150,33906.317790,0,0,3150,33906.317790,Townhouse,Freehold,7,2,45,0,47,19,0.328125,292
978,Lisgar NHD,56,"3859-3879,3813-3819/6901-6991/6918-6963",Allcroft Rd/Glory Crt/Guardian Crt,Medium Density,RM5,,3.9707,9.811813,174,,,0,0,,,Townhouse,Freehold,23,2,92,0,23,9,,293
980,Lisgar NHD,56,6827-6905/6838-6900/3957-3993/6958-6988/6963-6985/3905-3985,Apex Crt/Dillingwood Dr/Discovery Crt/Dunnview Crt/Lisanne Crt/Zenith Crt,Medium Density,RM5-11,,4.2,10.378426,342,25800,277708.888600,0,0,25800,277708.888600,Townhouse,Freehold,43,2,171,0,41,16,0.614286,294
987,Lisgar NHD,56,3895,Doug Leavens Blvd,Medium Density,RM9,,0.87,2.149817,135,2039,21947.613330,0,0,2039,21947.613330,Townhouse,PCC,6,3,54,0,62,25,0.234368,295
991,Lisgar NHD,56,3333-3476,Nighthawk Tr,Low Density II,RM5,,3.9047,9.648724,212,,,0,0,,,Townhouse,Freehold,18,2,115,0,29,12,,296
992,Lisgar NHD,56,6950,Tenth Line West,Medium Density,RM9,Avonlea Village Condominium,1.82,4.497318,237,11701,125948.515700,0,0,11701,125948.515700,Townhouse,PCC,13,3,103,0,57,23,0.642912,297
1002,Central Erin Mills NHD,39W,5865,Dalebrook Cres,Medium Density,RM4,The Heights of Erin Mills,2.044,5.050834,162,8696,93602.964930,0,0,8696,93602.964930,Townhouse,PCC,12,2,70,0,34,14,0.425440,298
