lat,lon
43.5493847,-79.6865742
43.5439762,-79.6890355
43.5450316,-79.687357
43.59905,-79.726127
43.600259,-79.729496
43.602611,-79.7299024
43.6040276,-79.7310823
43.60712,-79.729091
43.6060296,-79.7270983
43.602978,-79.728827
43.6045544,-79.7304973
43.523897,-79.669298
43.5259339,-79.6745193
43.5567719,-79.6407584
43.561318,-79.637612
43.5862544,-79.6958649
43.5487668,-79.6497376
43.552571,-79.6470459
43.5579678,-79.6391612
43.5913304,-79.5717804
43.5756673,-79.5713181
43.576569,-79.570924
43.5623039,-79.590025
43.512127,-79.624596
43.5013378,-79.6508365
43.501187,-79.649855
43.5073088,-79.644516
43.5092505,-79.641194
43.5086218,-79.6418622
43.507589,-79.642652
43.5063866,-79.6442914
43.5236157,-79.6185009
43.5252389,-79.6172864
43.5260081,-79.615863
43.526196,-79.6177071
43.5390592,-79.6042225
43.5389513,-79.6050817
43.5114346,-79.6381545
43.6123509,-79.659541
43.605069,-79.6669792
43.540048,-79.600791
43.6024566,-79.66171
43.5436687,-79.6764668
43.5986618,-79.6771579
43.5492987,-79.6669273
43.6195035,-79.6500301
43.5838735,-79.747759
43.5915326,-79.770955
43.5858459,-79.675683
43.5990802,-79.6758514
43.5460128,-79.7000609
43.5462397,-79.6777165
43.5410926,-79.6782935
43.6100948,-79.6862111
43.602769,-79.672771
43.6013999,-79.6109166
43.5682149,-79.672628
43.545271,-79.6794092
43.5138253,-79.6315455
43.5818151,-79.5869573
43.549606,-79.6872825
43.5500395,-79.6877042
43.5503675,-79.6871941
43.579818,-79.7413267
43.5767615,-79.7379811
43.6106849,-79.630521
43.5988294,-79.6278045
43.6089832,-79.5894601
43.54068,-79.5985388
43.5364188,-79.6042218
43.6022809,-79.654602
43.6108143,-79.6858691
43.513514,-79.628049
43.5445159,-79.677089
43.6150031,-79.6442092
43.6167781,-79.6409215
43.5449608,-79.6776568
43.5418873,-79.680233
43.5987437,-79.6596804
43.598235,-79.664151
43.5786811,-79.6869805
