lat,lon
43.6034067,-79.6489106
43.6584183,-79.5972465
43.577711,-79.604569
43.7173769,-79.6371705
43.6025449,-79.6488145
43.6624198,-79.5933914
43.5715688,-79.6497081
43.5745408,-79.645679
43.552077,-79.584773
43.6613055,-79.6069194
43.5997833,-79.7494302
43.5683714,-79.6532471
43.5191873,-79.620454
43.6114965,-79.747958
43.5688616,-79.6525355
43.6085902,-79.7289612
43.5990262,-79.7831268
43.6076533,-79.7572671
43.5258884,-79.6520582
43.6584614,-79.726643
43.5426535,-79.6837735
43.598707,-79.767258
43.6219296,-79.6676353
43.5217512,-79.6582829
43.6229471,-79.6769737
43.6220576,-79.6672567
43.5212539,-79.6592141
43.5987359,-79.7678798
43.6600873,-79.6020548
43.5144945,-79.665277
43.5931851,-79.7287523
43.6584614,-79.726643
43.5156511,-79.6705196
43.5958519,-79.7421344
43.653008,-79.614809
43.6646458,-79.6854121
43.653001,-79.614147
43.656797,-79.6153844
43.6086022,-79.7581625
43.6465222,-79.7120155
