BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID,lon,lat
Restaurant,STARBUCKS COFFEE #19818,1560,DUNDAS,ST,E,Bldg,C3,MISSISSAUGA,ON,L4X 1L4,1165,-79.5779031,43.6109261
Restaurant,STARBUCKS COFFEE #20593,5029,HURONTARIO,ST,,Unit,1,MISSISSAUGA,ON,L4Z3X7,1166,-79.65407,43.6086902
Restaurant,STARBUCKS COFFEE #20687,4076,CONFEDERATION,PKWY,,,,MISSISSAUGA,ON,L5B 0G4,1167,-79.6463509,43.5854084
Restaurant,STARBUCKS COFFEE #4278,3235,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5L5V7,1168,-79.6808184,43.5238021
Restaurant,STARBUCKS COFFEE #4290,3050,VEGA,BLVD,,,,MISSISSAUGA,ON,L5L 5X8,1169,-79.691954,43.5152175
Restaurant,STARBUCKS COFFEE #4303,189,RATHBURN,RD,W,,,MISSISSAUGA,ON,L5B4C1,1170,-79.6481053,43.594779
Restaurant,STARBUCKS COFFEE #4387,111,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5H1E9,1171,-79.587208,43.5498276
Restaurant,STARBUCKS COFFEE #4408,2100,HURONTARIO,ST,,Unit,4,MISSISSAUGA,ON,,1172,NA,NA
Restaurant,STARBUCKS COFFEE #4469,960,SOUTHDOWN,RD,,Unit,13,MISSISSAUGA,ON,L5Z 1K5,1173,NA,NA
Restaurant,STARBUCKS COFFEE #4478,100,CITY CENTRE,DR,,Unit,1-126,MISSISSAUGA,ON,L5B2C9,1174,-79.6424911,43.5930784
Restaurant,STARBUCKS COFFEE #4657,5067,DIXIE,RD,,,,MISSISSAUGA,ON,L5B 2C9,1175,-79.6424911,43.5930784
Restaurant,STARBUCKS COFFEE #4665,3035,ARGENTIA,RD,,Unit,7,MISSISSAUGA,ON,,1176,NA,NA
Restaurant,STARBUCKS COFFEE CANADA INC # 16201,3030,THOMAS,ST,,Unit,A407,MISSISSAUGA,ON,L5M 0N7,1177,-79.7364823,43.5588167
Restaurant,STARBUCKS KIOSK #23449 ROYAL BANK MEADOWVALE,6880,FINANCIAL,DR,,,,MISSISSAUGA,ON,L5N 7Y5,1178,-79.7462966,43.6084463
Restaurant,STIR KITCHEN & BEVERAGE CORP,10,KINGSBRIDGE GARDEN,CIR,,Suite,101,MISSISSAUGA,ON,L5R 3K6,1179,-79.6482807,43.6023702
Restaurant,STONEY PIZZA,1200,VANIER,DR,,Unit,8A,MISSISSAUGA,ON,L5H 4C7,1180,-79.6265239,43.5427236
Restaurant,STRANO CULINARY SERVICES/ OUR LADY OF MT CARMEL,3700,TRELAWNY,CIR,,,,MISSISSAUGA,ON,,1181,NA,NA
Restaurant,STRANO CULINARY SERVICES/DUFFERIN PEEL CSB,40,MATHESON,BL,W,,,MISSISSAUGA,ON,L5R1C5,1182,-79.6716109,43.6191975
Restaurant,STUDENT BIRYANI INC,1010,DREAM CREST,RD,,Unit,1314,MISSISSAUGA,ON,,1183,NA,NA
Restaurant,SUBWAY,2855,DERRY,RD,E,Unit,1,MISSISSAUGA,ON,L4T 1A6,1184,-79.6440702,43.7031737
Restaurant,SUBWAY,325,CENTRAL PKY,,W,Unit,50,MISSISSAUGA,ON,L5B3X9,1185,-79.6379294,43.5834511
Restaurant,SUBWAY,5019,SPECTRUM,WAY,,Unit,5B,MISSISSAUGA,ON,L4W 0E3,1186,-79.6221368,43.6476344
Restaurant,SUBWAY #15423,3041,ARGENTIA,RD,,Unit,M3,MISSISSAUGA,ON,L5N 8P7,1187,-79.7928996,43.5968997
Restaurant,SUBWAY AMC MISSISSAUGA,90,COURTNEYPARK,DR,E,Unit,N2,MISSISSAUGA,ON,L5T 2Y3,1188,-79.6902004,43.636624
Restaurant,SUBWAY COLLEGEWAY,3355,THE COLLEGEWAY,,,UNIT,29B,MISSISSAUGA,ON,L5R 5T3,1189,-79.6782755,43.6147554
Restaurant,SUBWAY KENNEDY INC,5555,KENNEDY,RD,,,,MISSISSAUGA,ON,L4Z 3E1,1190,-79.6561751,43.6278869
Restaurant,SUBWAY SALAD AND SANDWICHES,7070,MCLAUGHLIN,RD,,Unit,B3,MISSISSAUGA,ON,L5W 1W7,1191,-79.7179023,43.6364655
Restaurant,SUBWAY SANDWICH,1900,DUNDAS,ST,E,Unit,2,MISSISSAUGA,ON,L4X 2Z4,1192,-79.57167,43.6202259
Restaurant,SUBWAY SANDWICH,2920,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N 8C5,1193,-79.7809884,43.5976109
