COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
72,Meadowvale NHD,46W,1-36,Pierpont Pl,Low Density II,R3-8,,1.83,4.522028,72,NA,NA,0,0,NA,NA,Detached,PCC,12,2,36,0,20,8,NA,44,1-36 Pierpont Pl,-74.1558256,40.5800396
88,Malton NHD,48E,7030,Netherbrae Rd,Medium Density,RM4,Woodbine Square,1.08,2.668738,58,6816,73366.81335,0,0,6816,73366.81335,Townhouse,PCC,4,2,46,0,43,17,0.631111,45,7030 Netherbrae Rd,-79.6268184,43.7191843
89,Malton NHD,48E,7033,Netherbrae Rd,Medium Density,RM4,,1.12,2.76758,108,7112,76552.93084,0,0,7112,76552.93084,Townhouse,PCC,4,2,48,0,43,17,0.635,46,7033 Netherbrae Rd,-79.6259082,43.7198176
90,Malton NHD,48E,3860,Morning Star Dr,Medium Density,RM4,,1.23,3.039396,52,5449,58652.54782,0,0,5449,58652.54782,Townhouse,PCC,4,2,41,0,33,13,0.443008,47,3860 Morning Star Dr,-80.6885088,35.1414752
91,Malton NHD,48E,7450,Darcel Ave,Medium Density,RM4,,0.83,2.050975,32,8290,89232.8173,0,0,8290,89232.8173,Townhouse,PCC,3,2,27,0,33,13,0.998795,48,7450 Darcel Ave,-79.6384856,43.7258207
92,Malton NHD,48E,7406,Darcel Ave,Medium Density,RM4,,0.91,2.248659,59,4552,48997.32019,0,0,4552,48997.32019,Townhouse,PCC,5,2,39,0,43,17,0.50022,49,7406 Darcel Ave,-79.638419,43.72464
93,Malton NHD,48E,4020/7707,Brandon Gate Dr/Darcel Ave,Medium Density,RM4,,1.06,2.619317,82,4936,53130.66178,0,0,4936,53130.66178,Townhouse,PCC,5,3,36,0,34,14,0.46566,50,4020/7707 Brandon Gate Dr/Darcel Ave,NA,NA
95,Malton NHD,48E,3525,Brandon Gate Dr,Medium Density,RM4,,2.74,6.770687,228,12077,129995.746,0,0,12077,129995.746,Townhouse,PCC,11,3,101,0,37,15,0.440766,51,3525 Brandon Gate Dr,-79.6485655,43.7268772
96,Malton NHD,48E,7475,Goreway Dr,Medium Density,RM4,,1.92,4.744423,66,9165.5,98656.62086,0,0,9165.5,98656.62086,Townhouse,PCC,8,2,77,0,40,16,0.47737,52,7475 Goreway Dr,-79.6437452,43.7229274
97,Malton NHD,48W,3430,Brandon Gate Dr,Medium Density,RM4,,0.96,2.372212,72,5065,54519.20623,0,0,5065,54519.20623,Townhouse,PCC,5,2,32,0,33,13,0.527604,53,3430 Brandon Gate Dr,-79.6482722,43.7246209
98,Malton NHD,48W,7560,Goreway Dr,Medium Density,RM4,Goreway Mews,0.86,2.125106,84,4296,46241.75912,0,0,4296,46241.75912,Townhouse,PCC,4,3,37,0,43,17,0.499535,54,7560 Goreway Dr,-79.647084,43.724006
99,Malton NHD,48W,7500,Goreway Dr,Medium Density,RM4,,2.26,5.584582,122,11270,121309.2703,0,0,11270,121309.2703,Townhouse,PCC,11,3,97,0,43,17,0.498673,55,7500 Goreway Dr,-79.6447569,43.7223829
100,Malton NHD,48W,7440,Goreway Dr,Medium Density,RM4,,0.92,2.27337,41,4066,43766.05973,0,0,4066,43766.05973,Townhouse,PCC,5,2,39,0,42,17,0.441957,56,7440 Goreway Dr,-79.643549,43.721794
101,Malton CN,48W,3435/7255,Jolliffe Ave/Dooley Dr,Medium Density,RM4,,1.9,4.695002,162,12135,130620.0528,0,0,12135,130620.0528,Townhouse,PCC,9,3,75,0,39,16,0.638684,57,3435/7255 Jolliffe Ave/Dooley Dr,NA,NA
103,Malton NHD,48E,3600,Morning Star Dr,Medium Density,RM4,,0.89,2.199238,118,3855,41494.87463,0,0,3855,41494.87463,Townhouse,PCC,4,2,32,0,36,15,0.433146,58,3600 Morning Star Dr,-80.692137,35.1422862
105,East Credit NHD,45E,6050,Bidwell Tr,Medium Density,RM4,,1.93,4.769134,148,NA,NA,0,0,NA,NA,Townhouse,PCC,11,2,74,0,38,16,NA,59,6050 Bidwell Tr,-79.7107913,43.6012938
106,Malton NHD,48E,7555,Goreway Dr,Medium Density,RM9,Elder Garden Apartments,4.27,10.5514,340,21096,227075.454,0,0,21096,227075.454,Townhouse,RNTL,4,3,272,0,64,26,0.494052,60,7555 Goreway Dr,-79.6457177,43.7244875
166,East Credit NHD,37W,906-972,Cardington St,Low Density II,RM5,Victory Estates,1,2.471054,80,5625,60546.99606,0,0,5625,60546.99606,Townhouse,Freehold,6,2,45,0,45,18,0.5625,61,906-972 Cardington St,-79.6787405,43.5940417
171,East Credit NHD,38E,5237-5270/5230-5255/911-1069,Cinnamon Rd/Akicante St/Blizzard Rd,Medium Density,RM5,Credit Woods,3,7.413161,262,18300,196979.5605,0,0,18300,196979.5605,Townhouse,Freehold,18,2,122,0,41,16,0.61,62,5237-5270/5230-5255/911-1069 Cinnamon Rd/Akicante St/Blizzard Rd,NA,NA
173,Applewood NHD,20,30503040,Constitution Blvd,Medium Density,RM9,San Tropez Building No. 1,1.76,4.349055,195,24867,267666.1602,0,0,24867,267666.1602,Townhouse,PCC,NA,4,155,0,88,36,1.412898,63,30503040 Constitution Blvd,-80.4076709,40.7893854
175,Applewood NHD,20,1055,Dundas St E,Medium Density,RM9,San Tropez Building No. 3,0.88,2.174527,89,4366.7,47002.76759,0,0,4366.7,47002.76759,Townhouse,PCC,NA,4,64,0,73,29,0.496216,64,1055 Dundas St E,-79.5923108,43.6020663
176,Applewood NHD,20,3060/3055,Constitution Blvd/Tomken Rd,Medium Density,RM9,San Tropez Building No. 4,1.76,4.349055,169,20871,224653.5742,0,0,20871,224653.5742,Townhouse,PCC,2,4,131,0,74,30,1.185852,65,3060/3055 Constitution Blvd/Tomken Rd,NA,NA
181,East Credit NHD,38E,5156-5190,Dartmoore Crt,Medium Density,RM5,,0.57,1.408501,36,NA,NA,0,0,NA,NA,Townhouse,Freehold,3,2,18,0,32,13,NA,66,5156-5190 Dartmoore Crt,-79.6788765,43.5906071
